Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-0.14646776182711985,0.06683559705340832,0.07472266415112586,-0.2371454547158982,-0.06118294547699838,-0.19475906699955994,-0.2172312777641938,-0.25786123972637703,-0.17548095413039133,-0.06601292484865988,-0.011587824267029891,-0.01830062697842047
-0.14678247318190538,0.06553492990611234,0.07529687711987926,-0.23727158974415363,-0.060360157705293176,-0.19444786538826075,-0.21816137121571563,-0.25651695464148855,-0.1744673503087178,-0.06623192193413525,-0.011020264793889175,-0.018469326448253918
-0.14705634833766038,0.06437607004419216,0.07583029273024211,-0.23742776124873416,-0.05957941004718581,-0.19415495131386848,-0.21908955337941388,-0.2552284544677006,-0.1734728147657816,-0.06641979258917786,-0.01052834812013585,-0.018650590081101186
-0.14725599960779934,0.06343418043843452,0.07631442866478341,-0.23763983824447554,-0.058918614448590166,-0.19385454263140514,-0.2199576904687394,-0.2541079587309879,-0.1724871948524422,-0.0665457498718511,-0.01017137099111318,-0.01886439386386735
-0.14735077444284947,0.06272657032594586,0.07678443436642239,-0.23794705914553488,-0.05845483585131894,-0.19347373270601925,-0.2207049828577444,-0.2532596782698742,-0.17142329913882232,-0.06657738203009693,-0.010000713122339862,-0.019147657814383993
-0.14731007754411785,0.06222761564028335,0.07730827248514312,-0.23839600278368583,-0.05827677650074115,-0.192899847152675,-0.22125105155428626,-0.25280029057884684,-0.17013623921463775,-0.06647877466539691,-0.010064989506956019,-0.019551037439044072
-0.14710368957394382,0.06188360910875281,0.0779709240402058,-0.2390328198256419,-0.05849536705506453,-0.19199218560886255,-0.22148035158976576,-0.25287705234085156,-0.16844916337145718,-0.06620983506308692,-0.010413278520826469,-0.020133450845417313
-0.1467061188418185,0.06162271697988776,0.07885638019836227,-0.2398935136970745,-0.059248202916491396,-0.19059838958395922,-0.22123191550733304,-0.25367724500719946,-0.16618322933968227,-0.06572847690814222,-0.011093584853887893,-0.020953152435765635
-0.14610383929485588,0.061361452631561945,0.0800285061153204,-0.24099110254918776,-0.060695105955945836,-0.1885782063699799,-0.22029739468346218,-0.25542636589932766,-0.16319716633953352,-0.06499731295279207,-0.012144447850066725,-0.02205347885050966
-0.14530320071867095,0.06100928159058677,0.08151386574384271,-0.24230073077071687,-0.06300105467974815,-0.18583486552930753,-0.21843490831684112,-0.2583709894074107,-0.15944084503987874,-0.06399541918469444,-0.013577607501761046,-0.02344524020969323
-0.14433598805543205,0.060473410246371644,0.08329074866455626,-0.24374802723930342,-0.06630409266883973,-0.18234948515043248,-0.21540855787323593,-0.2627414887173724,-0.15501695642620472,-0.06273196115085038,-0.015354954439848956,-0.025093876782784342
-0.14325979421370447,0.05966545399866545,0.08528835403019315,-0.2452092727208576,-0.07067115156714183,-0.17820860907503497,-0.21105464210842118,-0.2686928006681117,-0.1502236450179615,-0.06125472734034123,-0.017372630284863487,-0.026921005200006707
